codigo;nombre;codigo_departamento
41483;Nátaga;41
73483;Natagaima;73
5495;Nechí;5
5490;Necoclí;5
17486;Neira;17
41001;Neiva;41
25486;Nemocón;25
25488;Nilo;25
25489;Nimaima;25
15491;Nobsa;15
25491;Nocaima;25
17495;Norcasia;17
13490;Norosi;13
27491;Nóvita;27
47460;Nueva Granada;47
15494;Nuevo Colón;15
85225;Nunchía;85
27495;Nuquí;27
76497;Obando;76
68498;Ocamonte;68
54498;Ocaña;54
68500;Oiba;68
15500;Oicatá;15
5501;Olaya;5
52490;Olaya Herrera (Bocas de Satinga;52
68502;Onzaga;68
41503;Oporapa;41
86320;Orito;86
85230;Orocué;85
73504;Ortega;73
52506;Ospina;52
15507;Otanche;15
70508;Ovejas;70
15511;Pachavita;15
25513;Pacho;25
17513;Pácora;17
19513;Padilla;19
15514;Páez;15
19517;Páez (Belalcázar;19
41518;Paicol;41
20517;Pailitas;20
25518;Paime;25
15516;Paipa;15
15518;Pajarito;15
41524;Palermo;41
17524;Palestina;17
41530;Palestina;41
68522;Palmar;68
8520;Palmar de Varela;8
68524;Palmas del Socorro;68
76520;Palmira;76
70523;Palmito;70
73520;Palocabildo;73
54518;Pamplona;54
54520;Pamplonita;54
25524;Pandi;25
15522;Panqueba;15
68533;Páramo;68
25530;Paratebueno;25
25535;Pasca;25
52001;Pasto;52
19532;Patía (El Bordo;19
15531;Pauna;15
15533;Paya;15
85250;Paz de Ariporo;85
15537;Paz de Rio;15
47541;Pedraza;47
20550;Pelaya;20
17541;Pensilvania;17
5541;Peñol;5
5543;Peque;5
66001;Pereira;66
15542;Pesca;15
19533;Piamonte;19
68547;Piedecuesta;68
73547;Piedras;73
19548;Piendamó;19
63548;Pijao;63
47545;Pijiño  del Carmen;47
68549;Pinchote;68
13549;Pinillos;13
8549;Piojó;8
15550;Pisba;15
41548;Pital;41
41551;Pitalito;41
47551;Pivijay;47
73555;Planadas;73
23555;Planeta Rica;23
47555;Plato;47
52540;Policarpa;52
8558;Polonuevo;8
8560;Ponedera;8
19001;Popayán;19
85263;Pore;85
52560;Potosí;52
76563;Pradera;76
73563;Prado;73
52565;Providencia;52
20570;Pueblo Bello;20
23570;Pueblo Nuevo;23
66572;Pueblo Rico;66
5576;Pueblorrico;5
47570;Puebloviejo;47
68572;Puente Nacional;68
52573;Puerres;52
86568;Puerto Asís;86
5579;Puerto Berrío;5
15572;Puerto Boyacá;15
86569;Puerto Caicedo;86
99001;Puerto Carreño;99
50450;Puerto Concordia;50
23574;Puerto Escondido;23
50568;Puerto Gaitán;50
86571;Puerto Guzmán;86
86573;Puerto Leguízamo;86
23580;Puerto Libertador;23
50577;Puerto Lleras;50
50573;Puerto López;50
5585;Puerto Nare;5
91540;Puerto Nariño;91
68573;Puerto Parra;68
18592;Puerto Rico;18
50590;Puerto Rico;50
81591;Puerto Rondón;81
25572;Puerto Salgar;25
54553;Puerto Santander;54
19573;Puerto Tejada;19
5591;Puerto Triunfo;5
68575;Puerto Wilches;68
25580;Pulí;25
52585;Pupiales;52
19585;Puracé (Coconuco;19
73585;Purificación;73
23586;Purísima;23
25592;Quebradanegra;25
25594;Quetame;25
27001;Quibdó;27
63594;Quimbaya;63
66594;Quinchía;66
15580;Quípama;15
25596;Quipile;25
54599;Ragonvalia;54
15599;Ramiriquí;15
15600;Ráquira;15
85279;Recetor;85
13580;Regidor;13
5604;Remedios;5
47605;Remolino;47
8606;Repelón;8
50606;Restrepo;50
76606;Restrepo;76
5607;Retiro;5
25612;Ricaurte;25
52612;Ricaurte;52
20614;Rio de Oro;20
27580;Rio Iró (Santa Rita;27
27600;Rio Quito (Paimadó;27
